ticket_id,subject,body,category_label,priority_label
T00001,Requesting SOC 2 report,Can you confirm encryption at rest and in transit? Any details on key management?,Security & Compliance,P1
T00002,Filter settings not saving,"When opening the ticket view, the UI crashes with error 'Token expired'. Browser: Safari 17.",Bugs & Errors,P1
T00003,Roadmap question: AI summary per ticket,Would love a dark mode for agents who work night shifts. Any timeline?,Feature Request,P2
T00004,How to download audit logs?,How do we download audit logs for the last 90 days for compliance?,Data Export & Reporting,P1
T00005,Requesting SOC 2 report,We suspect a security incident related to access from an unfamiliar IP. Can you provide logs?,Security & Compliance,P0
T00006,Charged twice for my subscription,We'd like a refund for we cancelled but were charged. The invoice number is INV198907.,Billing & Payments,P1
T00007,App is very slow today,We're seeing latency spikes in EU-West starting 2026-01-06. Any mitigations?,Performance & Reliability,P1
T00008,Charged twice for my subscription,"Hi team, our October invoice shows an incorrect VAT rate. We are on the Starter plan. Can you help correct it?",Billing & Payments,P1
T00009,New user cannot access workspace,Password reset emails are not arriving for it@acme.com. We checked spam. Could you resend or advise?,Authentication & Access,P2
T00010,Charged twice for my subscription,"Hi team, our June invoice shows a missing line item discount. We are on the Pro plan. Can you help correct it?",Billing & Payments,P1
T00011,Account locked after failed attempts,Password reset emails are not arriving for admin@acme.com. We checked spam. Could you resend or advise?,Authentication & Access,P2
T00012,Error when uploading attachment,"Mobile app crashes on launch after the latest update. Device: Pixel 7, OS: Android 14.",Bugs & Errors,P2
T00013,Error when uploading attachment,"When opening the ticket view, the UI crashes with error 'Permission denied'. Browser: Chrome 121.",Bugs & Errors,P2
T00014,Filter settings not saving,Filter settings won't save; they reset on refresh. Steps to reproduce: 1) save filter 2) reopen app 3) missing.,Bugs & Errors,P1
T00015,App is very slow today,Service appears down for our entire team (multiple networks). Status page? We need ETA.,Performance & Reliability,P0
T00016,Slack integration not posting messages,Zapier trigger 'New Ticket' stopped firing since 2026-01-09. We reconnected but still nothing.,Integrations & API,P2
T00017,Invoice shows incorrect VAT for May,Can you send a copy of invoice INV831059 to ops@acme.com?,Billing & Payments,P2
T00018,Enhancement: custom SLAs per team,Enhancement: custom SLAs per team and escalation rules based on priority.,Feature Request,P2
T00019,Getting intermittent 500 errors,Service appears down for our entire team (multiple networks). Status page? We need ETA.,Performance & Reliability,P0
T00020,Need help creating API token,Need guidance on creating an API token with least privileges for posting ticket alerts to Slack.,Integrations & API,P1
T00021,Requesting SOC 2 report,We need to process a GDPR deletion request for user admin@acme.com. What's the procedure/timeline?,Security & Compliance,P2
T00022,App is very slow today,Search is timing out for queries like 'API token scope'. We have about 80000 tickets.,Performance & Reliability,P2
T00023,Requesting SOC 2 report,We need to process a GDPR deletion request for user admin@acme.com. What's the procedure/timeline?,Security & Compliance,P2
T00024,Slack integration not posting messages,Zapier trigger 'New Ticket' stopped firing since 2026-01-07. We reconnected but still nothing.,Integrations & API,P2
